income,derived_consumption,year_2018,year_2019,year_2020,year_2021,year_2022,WfhCor_1,treatment_1,did_effect
394.1081538,53.43250406,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1188.54,4082.210708,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
225.02,301.5506035,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1122.18,88.7152584,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
552.5,15.58328812,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
611,2.833021701,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
521.72,9.436515748,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
495.7,133.5704698,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1707.16,26.13394216,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1260.45,62.62996219,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1458.72,172.8557263,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
881.83,103.811389,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
915.33,147.2897042,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
656.45,60.43222004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
920.0781538,389.4401828,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
898.32,69.63896848,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1464.66,191.2792931,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1057.05,109.2467899,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
520.75,100.7431341,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2004.06,48.06751854,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
